Voxel,Best_Alpha
"(27, 26, 63)",5.0
"(27, 26, 64)",5.0
"(27, 26, 65)",5.0
"(27, 26, 66)",5.0
"(27, 26, 67)",5.0
"(27, 27, 6)",5.0
"(27, 27, 7)",5.0
"(27, 27, 8)",5.0
"(27, 27, 9)",5.0
"(27, 27, 10)",5.0
"(27, 27, 11)",5.0
"(27, 27, 12)",5.0
"(27, 27, 18)",5.0
"(27, 27, 19)",5.0
"(27, 27, 20)",5.0
"(27, 27, 21)",5.0
"(27, 27, 22)",5.0
"(27, 27, 23)",5.0
"(27, 27, 24)",5.0
"(27, 27, 25)",5.0
"(27, 27, 29)",5.0
"(27, 27, 30)",5.0
"(27, 27, 31)",5.0
"(27, 27, 37)",5.0
"(27, 27, 38)",5.0
"(27, 27, 39)",5.0
"(27, 27, 40)",5.0
"(27, 27, 41)",5.0
"(27, 27, 42)",5.0
"(27, 27, 43)",5.0
"(27, 27, 44)",5.0
"(27, 27, 45)",5.0
"(27, 27, 46)",5.0
"(27, 27, 47)",5.0
"(27, 27, 48)",5.0
"(27, 27, 49)",5.0
"(27, 27, 62)",5.0
"(27, 27, 63)",5.0
"(27, 27, 64)",5.0
"(27, 27, 65)",5.0
"(27, 27, 66)",5.0
"(27, 27, 67)",5.0
"(27, 28, 6)",5.0
"(27, 28, 7)",5.0
"(27, 28, 8)",5.0
"(27, 28, 9)",5.0
"(27, 28, 10)",5.0
"(27, 28, 11)",5.0
"(27, 28, 12)",5.0
"(27, 28, 18)",5.0
"(27, 28, 19)",5.0
"(27, 28, 20)",5.0
"(27, 28, 21)",5.0
"(27, 28, 22)",5.0
"(27, 28, 23)",5.0
"(27, 28, 24)",5.0
"(27, 28, 25)",5.0
"(27, 28, 28)",5.0
"(27, 28, 29)",5.0
"(27, 28, 30)",5.0
"(27, 28, 34)",5.0
"(27, 28, 35)",5.0
"(27, 28, 36)",5.0
"(27, 28, 37)",5.0
"(27, 28, 38)",5.0
"(27, 28, 39)",5.0
"(27, 28, 40)",5.0
"(27, 28, 41)",5.0
"(27, 28, 42)",5.0
"(27, 28, 43)",5.0
"(27, 28, 44)",5.0
"(27, 28, 45)",5.0
"(27, 28, 46)",5.0
"(27, 28, 47)",5.0
"(27, 28, 48)",5.0
"(27, 28, 49)",5.0
"(27, 28, 63)",5.0
"(27, 28, 64)",5.0
"(27, 28, 65)",5.0
"(27, 28, 66)",5.0
"(27, 29, 6)",5.0
"(27, 29, 7)",5.0
"(27, 29, 8)",5.0
"(27, 29, 9)",5.0
"(27, 29, 10)",5.0
"(27, 29, 11)",5.0
"(27, 29, 12)",5.0
"(27, 29, 18)",5.0
"(27, 29, 19)",5.0
"(27, 29, 20)",5.0
"(27, 29, 21)",5.0
"(27, 29, 22)",5.0
"(27, 29, 23)",5.0
"(27, 29, 24)",5.0
"(27, 29, 25)",5.0
"(27, 29, 28)",5.0
"(27, 29, 29)",5.0
"(27, 29, 30)",5.0
"(27, 29, 31)",5.0
"(27, 29, 32)",5.0
"(27, 29, 33)",5.0
"(27, 29, 34)",5.0
"(27, 29, 35)",5.0
"(27, 29, 36)",5.0
"(27, 29, 37)",5.0
"(27, 29, 38)",5.0
"(27, 29, 39)",5.0
"(27, 29, 40)",5.0
"(27, 29, 41)",5.0
"(27, 29, 42)",5.0
"(27, 29, 43)",5.0
"(27, 29, 44)",5.0
"(27, 29, 45)",5.0
"(27, 29, 46)",5.0
"(27, 29, 47)",5.0
"(27, 29, 48)",5.0
"(27, 29, 49)",5.0
"(27, 29, 50)",5.0
"(27, 29, 51)",5.0
"(27, 30, 6)",5.0
"(27, 30, 7)",5.0
"(27, 30, 8)",5.0
"(27, 30, 9)",5.0
"(27, 30, 10)",5.0
"(27, 30, 11)",5.0
"(27, 30, 12)",5.0
"(27, 30, 18)",5.0
"(27, 30, 19)",5.0
"(27, 30, 20)",5.0
"(27, 30, 21)",5.0
"(27, 30, 22)",5.0
"(27, 30, 23)",5.0
"(27, 30, 24)",5.0
"(27, 30, 25)",5.0
"(27, 30, 28)",5.0
"(27, 30, 29)",5.0
"(27, 30, 30)",5.0
"(27, 30, 31)",5.0
"(27, 30, 32)",5.0
"(27, 30, 33)",5.0
"(27, 30, 34)",5.0
"(27, 30, 35)",5.0
"(27, 30, 36)",5.0
"(27, 30, 37)",5.0
"(27, 30, 38)",5.0
"(27, 30, 47)",5.0
"(27, 30, 48)",5.0
"(27, 30, 49)",5.0
"(27, 30, 50)",5.0
"(27, 30, 51)",5.0
"(27, 30, 52)",5.0
"(27, 30, 53)",5.0
"(27, 31, 6)",5.0
"(27, 31, 7)",5.0
"(27, 31, 8)",5.0
"(27, 31, 9)",5.0
"(27, 31, 10)",5.0
"(27, 31, 11)",5.0
"(27, 31, 12)",5.0
"(27, 31, 13)",5.0
"(27, 31, 18)",5.0
"(27, 31, 19)",5.0
"(27, 31, 20)",5.0
"(27, 31, 21)",5.0
"(27, 31, 22)",5.0
"(27, 31, 23)",5.0
"(27, 31, 24)",5.0
"(27, 31, 25)",5.0
"(27, 31, 28)",5.0
"(27, 31, 29)",5.0
"(27, 31, 30)",5.0
"(27, 31, 31)",5.0
"(27, 31, 32)",5.0
"(27, 31, 33)",5.0
"(27, 31, 34)",5.0
"(27, 31, 35)",5.0
"(27, 31, 36)",5.0
"(27, 31, 37)",5.0
"(27, 31, 48)",5.0
"(27, 31, 49)",5.0
"(27, 31, 50)",5.0
"(27, 31, 51)",5.0
"(27, 31, 52)",5.0
"(27, 31, 53)",5.0
"(27, 32, 7)",5.0
"(27, 32, 8)",5.0
"(27, 32, 9)",5.0
"(27, 32, 10)",5.0
"(27, 32, 11)",5.0
"(27, 32, 12)",5.0
"(27, 32, 13)",5.0
"(27, 32, 14)",5.0
"(27, 32, 15)",5.0
"(27, 32, 18)",5.0
"(27, 32, 19)",5.0
"(27, 32, 20)",5.0
"(27, 32, 21)",5.0
"(27, 32, 22)",5.0
"(27, 32, 23)",5.0
"(27, 32, 24)",5.0
"(27, 32, 25)",5.0
"(27, 32, 28)",5.0
"(27, 32, 29)",5.0
"(27, 32, 30)",5.0
"(27, 32, 31)",5.0
"(27, 32, 32)",5.0
"(27, 32, 34)",5.0
"(27, 32, 35)",5.0
"(27, 32, 36)",5.0
"(27, 32, 37)",5.0
"(27, 32, 48)",5.0
"(27, 32, 49)",5.0
"(27, 32, 50)",5.0
"(27, 32, 51)",5.0
"(27, 32, 52)",5.0
"(27, 32, 53)",5.0
"(27, 33, 7)",5.0
"(27, 33, 8)",5.0
"(27, 33, 9)",5.0
"(27, 33, 10)",5.0
"(27, 33, 11)",5.0
"(27, 33, 12)",5.0
"(27, 33, 13)",5.0
"(27, 33, 14)",5.0
"(27, 33, 15)",5.0
"(27, 33, 16)",5.0
"(27, 33, 18)",5.0
"(27, 33, 19)",5.0
"(27, 33, 20)",5.0
"(27, 33, 21)",5.0
"(27, 33, 22)",5.0
"(27, 33, 23)",5.0
"(27, 33, 24)",5.0
"(27, 33, 25)",5.0
"(27, 33, 28)",5.0
"(27, 33, 29)",5.0
"(27, 33, 30)",5.0
"(27, 33, 31)",5.0
"(27, 33, 32)",5.0
"(27, 33, 33)",5.0
"(27, 33, 34)",5.0
"(27, 33, 35)",5.0
"(27, 33, 36)",5.0
"(27, 33, 37)",5.0
"(27, 33, 48)",5.0
"(27, 33, 49)",5.0
"(27, 33, 50)",5.0
"(27, 33, 51)",5.0
"(27, 33, 52)",5.0
"(27, 34, 7)",5.0
"(27, 34, 8)",5.0
"(27, 34, 9)",5.0
"(27, 34, 10)",5.0
"(27, 34, 11)",5.0
"(27, 34, 12)",5.0
"(27, 34, 13)",5.0
"(27, 34, 14)",5.0
"(27, 34, 15)",5.0
"(27, 34, 16)",5.0
"(27, 34, 17)",5.0
"(27, 34, 18)",5.0
"(27, 34, 19)",5.0
"(27, 34, 20)",5.0
"(27, 34, 21)",5.0
"(27, 34, 22)",5.0
"(27, 34, 23)",5.0
"(27, 34, 24)",5.0
"(27, 34, 28)",5.0
"(27, 34, 29)",5.0
"(27, 34, 30)",5.0
"(27, 34, 31)",5.0
"(27, 34, 32)",5.0
"(27, 34, 33)",5.0
"(27, 34, 34)",5.0
"(27, 34, 35)",5.0
"(27, 34, 36)",5.0
"(27, 34, 37)",5.0
"(27, 34, 38)",5.0
"(27, 34, 39)",5.0
"(27, 34, 40)",5.0
"(27, 34, 48)",5.0
"(27, 34, 49)",5.0
"(27, 34, 50)",5.0
"(27, 34, 51)",5.0
"(27, 34, 52)",5.0
"(27, 35, 8)",5.0
"(27, 35, 9)",5.0
"(27, 35, 10)",5.0
"(27, 35, 11)",5.0
"(27, 35, 12)",5.0
"(27, 35, 13)",5.0
"(27, 35, 14)",5.0
"(27, 35, 15)",5.0
"(27, 35, 16)",5.0
"(27, 35, 17)",5.0
"(27, 35, 18)",5.0
"(27, 35, 19)",5.0
"(27, 35, 20)",5.0
"(27, 35, 21)",5.0
"(27, 35, 22)",5.0
"(27, 35, 23)",5.0
"(27, 35, 24)",5.0
"(27, 35, 28)",5.0
"(27, 35, 29)",5.0
"(27, 35, 30)",5.0
"(27, 35, 31)",5.0
"(27, 35, 32)",5.0
"(27, 35, 33)",5.0
"(27, 35, 34)",5.0
"(27, 35, 35)",5.0
"(27, 35, 36)",5.0
"(27, 35, 37)",5.0
"(27, 35, 38)",5.0
"(27, 35, 39)",5.0
"(27, 35, 40)",5.0
"(27, 35, 41)",5.0
"(27, 35, 42)",5.0
"(27, 35, 43)",5.0
"(27, 35, 47)",5.0
"(27, 35, 48)",5.0
"(27, 35, 49)",5.0
"(27, 35, 50)",5.0
"(27, 35, 51)",5.0
"(27, 35, 52)",5.0
"(27, 36, 9)",5.0
"(27, 36, 10)",5.0
"(27, 36, 11)",5.0
"(27, 36, 12)",5.0
"(27, 36, 13)",5.0
"(27, 36, 14)",5.0
"(27, 36, 15)",5.0
"(27, 36, 16)",5.0
"(27, 36, 17)",5.0
"(27, 36, 18)",5.0
"(27, 36, 19)",5.0
"(27, 36, 20)",5.0
"(27, 36, 21)",5.0
"(27, 36, 22)",5.0
"(27, 36, 23)",5.0
"(27, 36, 24)",5.0
"(27, 36, 28)",5.0
"(27, 36, 29)",5.0
"(27, 36, 30)",5.0
"(27, 36, 31)",5.0
"(27, 36, 32)",5.0
"(27, 36, 33)",5.0
"(27, 36, 34)",5.0
"(27, 36, 35)",5.0
"(27, 36, 36)",5.0
"(27, 36, 37)",5.0
"(27, 36, 38)",5.0
"(27, 36, 39)",5.0
"(27, 36, 40)",5.0
"(27, 36, 41)",5.0
"(27, 36, 42)",5.0
"(27, 36, 43)",5.0
"(27, 36, 44)",5.0
"(27, 36, 45)",5.0
"(27, 36, 46)",5.0
"(27, 36, 47)",5.0
"(27, 36, 48)",5.0
"(27, 36, 49)",5.0
"(27, 36, 50)",5.0
"(27, 36, 51)",5.0
"(27, 37, 12)",5.0
"(27, 37, 13)",5.0
"(27, 37, 14)",5.0
"(27, 37, 15)",5.0
"(27, 37, 16)",5.0
"(27, 37, 17)",5.0
"(27, 37, 18)",5.0
"(27, 37, 19)",5.0
"(27, 37, 20)",5.0
"(27, 37, 21)",5.0
"(27, 37, 22)",5.0
"(27, 37, 23)",5.0
"(27, 37, 27)",5.0
"(27, 37, 28)",5.0
"(27, 37, 29)",5.0
"(27, 37, 30)",5.0
"(27, 37, 31)",5.0
"(27, 37, 32)",5.0
"(27, 37, 33)",5.0
"(27, 37, 34)",5.0
"(27, 37, 35)",5.0
"(27, 37, 36)",5.0
"(27, 37, 37)",5.0
"(27, 37, 38)",5.0
"(27, 37, 39)",5.0
"(27, 37, 40)",5.0
"(27, 37, 41)",5.0
"(27, 37, 42)",5.0
"(27, 37, 43)",5.0
"(27, 37, 44)",5.0
"(27, 37, 45)",5.0
"(27, 37, 46)",5.0
"(27, 37, 47)",5.0
"(27, 37, 48)",5.0
"(27, 37, 49)",5.0
"(27, 37, 50)",5.0
"(27, 37, 51)",5.0
"(27, 38, 13)",5.0
"(27, 38, 14)",5.0
"(27, 38, 15)",5.0
"(27, 38, 16)",5.0
"(27, 38, 17)",5.0
"(27, 38, 18)",5.0
"(27, 38, 19)",5.0
"(27, 38, 20)",5.0
"(27, 38, 21)",5.0
"(27, 38, 22)",5.0
"(27, 38, 23)",5.0
"(27, 38, 27)",5.0
"(27, 38, 28)",5.0
"(27, 38, 29)",5.0
"(27, 38, 30)",5.0
"(27, 38, 31)",5.0
"(27, 38, 32)",5.0
"(27, 38, 33)",5.0
"(27, 38, 34)",5.0
"(27, 38, 35)",5.0
"(27, 38, 36)",5.0
"(27, 38, 37)",5.0
"(27, 38, 38)",5.0
"(27, 38, 39)",5.0
"(27, 38, 40)",5.0
"(27, 38, 41)",5.0
"(27, 38, 42)",5.0
"(27, 38, 43)",5.0
"(27, 38, 44)",5.0
"(27, 38, 45)",5.0
"(27, 38, 46)",5.0
"(27, 38, 47)",5.0
"(27, 38, 48)",5.0
"(27, 38, 49)",5.0
"(27, 38, 50)",5.0
"(27, 38, 51)",5.0
"(27, 39, 14)",5.0
"(27, 39, 15)",5.0
"(27, 39, 16)",5.0
"(27, 39, 17)",5.0
"(27, 39, 18)",5.0
"(27, 39, 19)",5.0
"(27, 39, 20)",5.0
"(27, 39, 21)",5.0
"(27, 39, 22)",5.0
"(27, 39, 26)",5.0
"(27, 39, 27)",5.0
"(27, 39, 28)",5.0
"(27, 39, 29)",5.0
"(27, 39, 30)",5.0
"(27, 39, 31)",5.0
"(27, 39, 32)",5.0
"(27, 39, 33)",5.0
"(27, 39, 34)",5.0
"(27, 39, 35)",5.0
"(27, 39, 36)",5.0
"(27, 39, 37)",5.0
"(27, 39, 38)",5.0
"(27, 39, 39)",5.0
"(27, 39, 40)",5.0
"(27, 39, 41)",5.0
"(27, 39, 42)",5.0
"(27, 39, 43)",5.0
"(27, 39, 44)",5.0
"(27, 39, 45)",5.0
"(27, 39, 46)",5.0
"(27, 39, 47)",5.0
"(27, 39, 48)",5.0
"(27, 39, 49)",5.0
"(27, 39, 50)",5.0
"(27, 39, 51)",5.0
"(27, 40, 15)",5.0
"(27, 40, 16)",5.0
"(27, 40, 17)",5.0
"(27, 40, 18)",5.0
"(27, 40, 26)",5.0
"(27, 40, 27)",5.0
"(27, 40, 28)",5.0
"(27, 40, 29)",5.0
"(27, 40, 30)",5.0
"(27, 40, 31)",5.0
"(27, 40, 32)",5.0
"(27, 40, 33)",5.0
"(27, 40, 34)",5.0
"(27, 40, 35)",5.0
"(27, 40, 36)",5.0
"(27, 40, 37)",5.0
"(27, 40, 38)",5.0
"(27, 40, 39)",5.0
"(27, 40, 40)",5.0
"(27, 40, 41)",5.0
"(27, 40, 42)",5.0
"(27, 40, 43)",5.0
"(27, 40, 44)",5.0
"(27, 40, 45)",5.0
"(27, 40, 46)",5.0
"(27, 40, 47)",5.0
"(27, 40, 48)",5.0
"(27, 40, 49)",5.0
"(27, 40, 50)",5.0
"(27, 41, 25)",5.0
"(27, 41, 26)",5.0
"(27, 41, 27)",5.0
"(27, 41, 28)",5.0
"(27, 41, 38)",5.0
"(27, 41, 39)",5.0
"(27, 41, 40)",5.0
"(27, 41, 41)",5.0
"(27, 41, 42)",5.0
"(27, 41, 43)",5.0
"(27, 41, 44)",5.0
"(27, 41, 45)",5.0
"(27, 41, 46)",5.0
"(27, 41, 47)",5.0
"(27, 41, 48)",5.0
"(27, 41, 49)",5.0
"(27, 42, 26)",5.0
"(27, 42, 27)",5.0
"(27, 42, 40)",5.0
"(27, 42, 41)",5.0
"(27, 42, 42)",5.0
"(27, 42, 43)",5.0
"(27, 42, 44)",5.0
"(27, 42, 45)",5.0
"(27, 42, 46)",5.0
"(27, 42, 47)",5.0
"(27, 42, 48)",5.0
"(27, 42, 49)",5.0
"(27, 42, 50)",5.0
"(27, 43, 45)",5.0
"(27, 43, 46)",5.0
"(27, 43, 47)",5.0
"(27, 47, 31)",5.0
"(27, 47, 32)",5.0
"(27, 48, 31)",5.0
"(27, 48, 32)",5.0
"(27, 51, 25)",5.0
"(27, 51, 40)",5.0
"(27, 52, 25)",5.0
"(27, 52, 26)",5.0
"(27, 53, 40)",5.0
"(27, 54, 40)",5.0
"(27, 54, 41)",5.0
"(27, 55, 40)",5.0
"(27, 55, 41)",5.0
"(27, 56, 40)",5.0
"(27, 59, 31)",5.0
"(27, 59, 32)",5.0
"(27, 60, 30)",5.0
"(27, 60, 31)",5.0
"(27, 60, 32)",5.0
"(27, 60, 33)",5.0
"(27, 60, 34)",5.0
"(27, 61, 30)",5.0
"(27, 61, 31)",5.0
"(27, 61, 32)",5.0
"(27, 61, 33)",5.0
"(27, 61, 34)",5.0
"(27, 61, 40)",5.0
"(27, 61, 41)",5.0
"(27, 62, 31)",5.0
"(27, 62, 32)",5.0
"(27, 62, 33)",5.0
"(27, 62, 34)",5.0
"(27, 62, 37)",5.0
"(27, 62, 38)",5.0
"(27, 62, 39)",5.0
"(27, 62, 40)",5.0
"(27, 62, 41)",5.0
"(27, 63, 31)",5.0
"(27, 63, 32)",5.0
"(27, 63, 33)",5.0
"(27, 63, 34)",5.0
"(27, 63, 35)",5.0
"(27, 63, 36)",5.0
"(27, 63, 37)",5.0
"(27, 63, 38)",5.0
"(27, 63, 39)",5.0
"(27, 63, 40)",5.0
"(27, 63, 41)",5.0
"(27, 64, 32)",5.0
"(27, 64, 33)",5.0
"(27, 64, 34)",5.0
"(27, 64, 35)",5.0
"(27, 64, 36)",5.0
"(27, 64, 37)",5.0
"(27, 64, 38)",5.0
"(27, 64, 39)",5.0
"(27, 64, 40)",5.0
"(27, 64, 41)",5.0
"(27, 65, 32)",5.0
"(27, 65, 33)",5.0
"(27, 65, 34)",5.0
"(27, 65, 35)",5.0
"(27, 65, 36)",5.0
"(27, 65, 37)",5.0
"(27, 65, 38)",5.0
"(27, 65, 39)",5.0
"(27, 65, 40)",5.0
"(27, 65, 41)",5.0
"(27, 66, 32)",5.0
"(27, 66, 33)",5.0
"(27, 66, 34)",5.0
"(27, 66, 35)",5.0
"(27, 66, 36)",5.0
"(27, 66, 37)",5.0
"(27, 66, 38)",5.0
"(27, 66, 39)",5.0
"(27, 66, 40)",5.0
"(27, 67, 33)",5.0
"(27, 67, 34)",5.0
"(27, 67, 35)",5.0
"(27, 67, 36)",5.0
"(27, 67, 37)",5.0
"(27, 67, 38)",5.0
"(27, 67, 39)",5.0
"(27, 67, 40)",5.0
"(27, 68, 36)",5.0
"(27, 68, 37)",5.0
"(27, 76, 50)",5.0
"(27, 77, 48)",5.0
"(27, 77, 49)",5.0
"(27, 77, 50)",5.0
"(27, 77, 51)",5.0
"(27, 77, 52)",5.0
"(27, 78, 46)",5.0
"(27, 78, 47)",5.0
"(27, 78, 48)",5.0
"(27, 78, 49)",5.0
"(27, 78, 50)",5.0
"(27, 78, 51)",5.0
"(27, 78, 52)",5.0
"(27, 79, 42)",5.0
"(27, 79, 43)",5.0
"(27, 79, 44)",5.0
"(27, 79, 45)",5.0
"(27, 79, 46)",5.0
"(27, 79, 47)",5.0
"(27, 79, 48)",5.0
"(27, 79, 49)",5.0
"(27, 79, 50)",5.0
"(27, 79, 51)",5.0
"(27, 79, 52)",5.0
"(27, 80, 35)",5.0
"(27, 80, 40)",5.0
"(27, 80, 41)",5.0
"(27, 80, 42)",5.0
"(27, 80, 43)",5.0
"(27, 80, 44)",5.0
"(27, 80, 45)",5.0
"(27, 80, 46)",5.0
"(27, 80, 47)",5.0
"(27, 80, 48)",5.0
"(27, 80, 49)",5.0
"(27, 80, 50)",5.0
"(27, 80, 51)",5.0
"(27, 81, 39)",5.0
"(27, 81, 40)",5.0
"(27, 81, 41)",5.0
"(27, 81, 42)",5.0
"(27, 81, 43)",5.0
"(27, 81, 44)",5.0
"(27, 81, 45)",5.0
"(27, 81, 46)",5.0
"(27, 81, 47)",5.0
"(27, 81, 48)",5.0
"(27, 81, 49)",5.0
"(27, 81, 50)",5.0
"(27, 82, 39)",5.0
"(27, 82, 40)",5.0
"(27, 82, 41)",5.0
"(27, 82, 42)",5.0
"(27, 82, 43)",5.0
"(27, 82, 44)",5.0
"(27, 82, 45)",5.0
"(27, 82, 46)",5.0
"(27, 82, 47)",5.0
"(27, 82, 48)",5.0
"(27, 83, 40)",5.0
"(27, 83, 41)",5.0
"(27, 83, 42)",5.0
"(27, 83, 43)",5.0
"(27, 83, 44)",5.0
"(27, 83, 45)",5.0
"(27, 83, 46)",5.0
"(27, 83, 47)",5.0
"(27, 84, 41)",5.0
"(27, 84, 42)",5.0
"(27, 84, 43)",5.0
"(27, 84, 44)",5.0
"(27, 84, 45)",5.0
"(28, 7, 37)",5.0
"(28, 7, 38)",5.0
"(28, 11, 46)",5.0
"(28, 13, 37)",5.0
"(28, 13, 38)",5.0
"(28, 13, 50)",5.0
"(28, 14, 36)",5.0
"(28, 14, 37)",5.0
"(28, 14, 38)",5.0
"(28, 14, 50)",5.0
"(28, 14, 51)",5.0
"(28, 14, 52)",5.0
"(28, 15, 19)",5.0
"(28, 15, 20)",5.0
"(28, 15, 35)",5.0
"(28, 15, 36)",5.0
"(28, 15, 37)",5.0
"(28, 15, 38)",5.0
"(28, 15, 39)",5.0
"(28, 15, 50)",5.0
"(28, 15, 51)",5.0
"(28, 15, 52)",5.0
"(28, 15, 53)",5.0
"(28, 16, 18)",5.0
"(28, 16, 19)",5.0
"(28, 16, 20)",5.0
"(28, 16, 35)",5.0
"(28, 16, 36)",5.0
"(28, 16, 37)",5.0
"(28, 16, 38)",5.0
"(28, 16, 39)",5.0
"(28, 16, 40)",5.0
"(28, 16, 51)",5.0
"(28, 16, 52)",5.0
"(28, 16, 53)",5.0
"(28, 16, 54)",5.0
"(28, 16, 55)",5.0
"(28, 16, 56)",5.0
"(28, 17, 11)",5.0
"(28, 17, 17)",5.0
"(28, 17, 18)",5.0
"(28, 17, 19)",5.0
"(28, 17, 20)",5.0
"(28, 17, 21)",5.0
"(28, 17, 35)",5.0
"(28, 17, 36)",5.0
"(28, 17, 37)",5.0
"(28, 17, 38)",5.0
"(28, 17, 39)",5.0
"(28, 17, 40)",5.0
"(28, 17, 41)",5.0
"(28, 17, 51)",5.0
"(28, 17, 52)",5.0
"(28, 17, 53)",5.0
"(28, 17, 54)",5.0
"(28, 17, 55)",5.0
"(28, 17, 56)",5.0
"(28, 17, 57)",5.0
"(28, 18, 10)",5.0
"(28, 18, 11)",5.0
"(28, 18, 17)",5.0
"(28, 18, 18)",5.0
"(28, 18, 19)",5.0
"(28, 18, 20)",5.0
"(28, 18, 21)",5.0
"(28, 18, 35)",5.0
"(28, 18, 36)",5.0
"(28, 18, 37)",5.0
"(28, 18, 38)",5.0
"(28, 18, 39)",5.0
"(28, 18, 40)",5.0
"(28, 18, 41)",5.0
"(28, 18, 42)",5.0
"(28, 18, 51)",5.0
"(28, 18, 52)",5.0
"(28, 18, 53)",5.0
"(28, 18, 54)",5.0
"(28, 18, 55)",5.0
"(28, 18, 56)",5.0
"(28, 18, 57)",5.0
"(28, 18, 58)",5.0
"(28, 19, 10)",5.0
"(28, 19, 11)",5.0
"(28, 19, 17)",5.0
"(28, 19, 18)",5.0
"(28, 19, 19)",5.0
"(28, 19, 20)",5.0
"(28, 19, 21)",5.0
"(28, 19, 22)",5.0
"(28, 19, 36)",5.0
"(28, 19, 37)",5.0
"(28, 19, 38)",5.0
"(28, 19, 39)",5.0
"(28, 19, 40)",5.0
"(28, 19, 41)",5.0
"(28, 19, 42)",5.0
"(28, 19, 43)",5.0
"(28, 19, 51)",5.0
"(28, 19, 52)",5.0
"(28, 19, 53)",5.0
"(28, 19, 54)",5.0
"(28, 19, 55)",5.0
"(28, 19, 56)",5.0
"(28, 19, 57)",5.0
"(28, 19, 58)",5.0
"(28, 19, 59)",5.0
"(28, 20, 9)",5.0
"(28, 20, 10)",5.0
"(28, 20, 11)",5.0
"(28, 20, 12)",5.0
"(28, 20, 13)",5.0
"(28, 20, 17)",5.0
"(28, 20, 18)",5.0
"(28, 20, 19)",5.0
"(28, 20, 20)",5.0
"(28, 20, 21)",5.0
"(28, 20, 22)",5.0
"(28, 20, 23)",5.0
"(28, 20, 36)",5.0
"(28, 20, 37)",5.0
"(28, 20, 38)",5.0
"(28, 20, 39)",5.0
"(28, 20, 40)",5.0
"(28, 20, 41)",5.0
"(28, 20, 42)",5.0
"(28, 20, 43)",5.0
"(28, 20, 50)",5.0
"(28, 20, 51)",5.0
"(28, 20, 52)",5.0
"(28, 20, 53)",5.0
"(28, 20, 54)",5.0
"(28, 20, 55)",5.0
"(28, 20, 56)",5.0
"(28, 20, 57)",5.0
"(28, 20, 58)",5.0
"(28, 20, 59)",5.0
"(28, 20, 60)",5.0
"(28, 21, 9)",5.0
"(28, 21, 10)",5.0
"(28, 21, 11)",5.0
"(28, 21, 12)",5.0
"(28, 21, 13)",5.0
"(28, 21, 17)",5.0
"(28, 21, 18)",5.0
"(28, 21, 19)",5.0
"(28, 21, 20)",5.0
"(28, 21, 21)",5.0
"(28, 21, 22)",5.0
"(28, 21, 23)",5.0
"(28, 21, 29)",5.0
"(28, 21, 30)",5.0
"(28, 21, 36)",5.0
"(28, 21, 37)",5.0
"(28, 21, 38)",5.0
"(28, 21, 39)",5.0
"(28, 21, 40)",5.0
"(28, 21, 41)",5.0
"(28, 21, 42)",5.0
"(28, 21, 43)",5.0
"(28, 21, 44)",5.0
"(28, 21, 45)",5.0
"(28, 21, 46)",5.0
"(28, 21, 47)",5.0
"(28, 21, 48)",5.0
"(28, 21, 49)",5.0
"(28, 21, 50)",5.0
"(28, 21, 51)",5.0
"(28, 21, 52)",5.0
"(28, 21, 53)",5.0
"(28, 21, 54)",5.0
"(28, 21, 55)",5.0
"(28, 21, 56)",5.0
"(28, 21, 57)",5.0
"(28, 21, 58)",5.0
"(28, 21, 59)",5.0
"(28, 21, 60)",5.0
"(28, 21, 61)",5.0
"(28, 22, 8)",5.0
"(28, 22, 9)",5.0
"(28, 22, 10)",5.0
"(28, 22, 11)",5.0
"(28, 22, 12)",5.0
"(28, 22, 13)",5.0
"(28, 22, 17)",5.0
"(28, 22, 18)",5.0
"(28, 22, 19)",5.0
"(28, 22, 20)",5.0
"(28, 22, 21)",5.0
"(28, 22, 22)",5.0
"(28, 22, 23)",5.0
"(28, 22, 29)",5.0
"(28, 22, 30)",5.0
"(28, 22, 36)",5.0
"(28, 22, 37)",5.0
"(28, 22, 38)",5.0
"(28, 22, 39)",5.0
"(28, 22, 40)",5.0
"(28, 22, 41)",5.0
"(28, 22, 42)",5.0
"(28, 22, 43)",5.0
"(28, 22, 44)",5.0
"(28, 22, 45)",5.0
"(28, 22, 46)",5.0
"(28, 22, 47)",5.0
"(28, 22, 48)",5.0
"(28, 22, 49)",5.0
"(28, 22, 50)",5.0
"(28, 22, 54)",5.0
"(28, 22, 55)",5.0
"(28, 22, 56)",5.0
"(28, 22, 57)",5.0
"(28, 22, 58)",5.0
"(28, 22, 59)",5.0
"(28, 22, 60)",5.0
"(28, 22, 61)",5.0
"(28, 22, 62)",5.0
"(28, 23, 8)",5.0
"(28, 23, 9)",5.0
"(28, 23, 10)",5.0
"(28, 23, 11)",5.0
"(28, 23, 12)",5.0
"(28, 23, 13)",5.0
"(28, 23, 17)",5.0
"(28, 23, 18)",5.0
"(28, 23, 19)",5.0
"(28, 23, 20)",5.0
"(28, 23, 21)",5.0
"(28, 23, 22)",5.0
"(28, 23, 23)",5.0
"(28, 23, 24)",5.0
"(28, 23, 29)",5.0
"(28, 23, 30)",5.0
"(28, 23, 31)",5.0
"(28, 23, 36)",5.0
"(28, 23, 37)",5.0
"(28, 23, 38)",5.0
"(28, 23, 39)",5.0
"(28, 23, 40)",5.0
"(28, 23, 41)",5.0
"(28, 23, 42)",5.0
