Voxel,Best_Alpha
"(11, 25, 32)",5.0
"(11, 25, 33)",5.0
"(11, 25, 34)",5.0
"(11, 25, 35)",5.0
"(11, 25, 36)",5.0
"(11, 25, 37)",5.0
"(11, 25, 38)",5.0
"(11, 25, 39)",5.0
"(11, 25, 40)",5.0
"(11, 25, 44)",5.0
"(11, 25, 45)",5.0
"(11, 25, 46)",5.0
"(11, 25, 47)",5.0
"(11, 25, 48)",5.0
"(11, 25, 49)",5.0
"(11, 25, 50)",5.0
"(11, 25, 51)",5.0
"(11, 26, 30)",5.0
"(11, 26, 31)",5.0
"(11, 26, 32)",5.0
"(11, 26, 33)",5.0
"(11, 26, 34)",5.0
"(11, 26, 35)",5.0
"(11, 26, 44)",5.0
"(11, 26, 45)",5.0
"(11, 26, 46)",5.0
"(11, 26, 47)",5.0
"(11, 26, 48)",5.0
"(11, 26, 49)",5.0
"(11, 26, 50)",5.0
"(11, 26, 51)",5.0
"(11, 26, 52)",5.0
"(11, 26, 53)",5.0
"(11, 27, 30)",5.0
"(11, 27, 31)",5.0
"(11, 27, 32)",5.0
"(11, 27, 33)",5.0
"(11, 27, 34)",5.0
"(11, 27, 35)",5.0
"(11, 27, 45)",5.0
"(11, 27, 46)",5.0
"(11, 27, 47)",5.0
"(11, 27, 48)",5.0
"(11, 27, 52)",5.0
"(11, 27, 53)",5.0
"(11, 27, 54)",5.0
"(11, 27, 55)",5.0
"(11, 28, 31)",5.0
"(11, 28, 32)",5.0
"(11, 28, 33)",5.0
"(11, 28, 47)",5.0
"(11, 28, 54)",5.0
"(11, 28, 55)",5.0
"(11, 28, 56)",5.0
"(11, 29, 31)",5.0
"(11, 29, 32)",5.0
"(11, 29, 33)",5.0
"(11, 29, 56)",5.0
"(11, 29, 57)",5.0
"(11, 30, 32)",5.0
"(11, 30, 33)",5.0
"(11, 30, 57)",5.0
"(11, 33, 38)",5.0
"(11, 34, 37)",5.0
"(11, 34, 38)",5.0
"(11, 35, 36)",5.0
"(11, 35, 37)",5.0
"(11, 35, 38)",5.0
"(11, 36, 34)",5.0
"(11, 36, 35)",5.0
"(11, 36, 36)",5.0
"(11, 37, 33)",5.0
"(11, 37, 34)",5.0
"(11, 37, 35)",5.0
"(11, 38, 33)",5.0
"(11, 38, 34)",5.0
"(11, 38, 35)",5.0
"(11, 39, 33)",5.0
"(11, 39, 34)",5.0
"(11, 39, 35)",5.0
"(11, 40, 32)",5.0
"(11, 40, 33)",5.0
"(11, 40, 34)",5.0
"(11, 41, 32)",5.0
"(11, 41, 33)",5.0
"(12, 21, 35)",5.0
"(12, 21, 36)",5.0
"(12, 22, 33)",5.0
"(12, 22, 34)",5.0
"(12, 22, 35)",5.0
"(12, 22, 36)",5.0
"(12, 22, 37)",5.0
"(12, 22, 42)",5.0
"(12, 22, 43)",5.0
"(12, 22, 44)",5.0
"(12, 22, 45)",5.0
"(12, 22, 46)",5.0
"(12, 22, 47)",5.0
"(12, 22, 48)",5.0
"(12, 23, 32)",5.0
"(12, 23, 33)",5.0
"(12, 23, 34)",5.0
"(12, 23, 35)",5.0
"(12, 23, 36)",5.0
"(12, 23, 37)",5.0
"(12, 23, 42)",5.0
"(12, 23, 43)",5.0
"(12, 23, 44)",5.0
"(12, 23, 45)",5.0
"(12, 23, 46)",5.0
"(12, 23, 47)",5.0
"(12, 23, 48)",5.0
"(12, 23, 49)",5.0
"(12, 24, 32)",5.0
"(12, 24, 33)",5.0
"(12, 24, 34)",5.0
"(12, 24, 35)",5.0
"(12, 24, 36)",5.0
"(12, 24, 37)",5.0
"(12, 24, 38)",5.0
"(12, 24, 42)",5.0
"(12, 24, 43)",5.0
"(12, 24, 44)",5.0
"(12, 24, 45)",5.0
"(12, 24, 46)",5.0
"(12, 24, 47)",5.0
"(12, 24, 48)",5.0
"(12, 24, 49)",5.0
"(12, 24, 50)",5.0
"(12, 24, 51)",5.0
"(12, 25, 31)",5.0
"(12, 25, 32)",5.0
"(12, 25, 33)",5.0
"(12, 25, 34)",5.0
"(12, 25, 38)",5.0
"(12, 25, 39)",5.0
"(12, 25, 43)",5.0
"(12, 25, 44)",5.0
"(12, 25, 45)",5.0
"(12, 25, 46)",5.0
"(12, 25, 47)",5.0
"(12, 25, 48)",5.0
"(12, 25, 49)",5.0
"(12, 25, 50)",5.0
"(12, 25, 51)",5.0
"(12, 25, 52)",5.0
"(12, 26, 30)",5.0
"(12, 26, 31)",5.0
"(12, 26, 32)",5.0
"(12, 26, 33)",5.0
"(12, 26, 34)",5.0
"(12, 26, 43)",5.0
"(12, 26, 44)",5.0
"(12, 26, 45)",5.0
"(12, 26, 46)",5.0
"(12, 26, 47)",5.0
"(12, 26, 48)",5.0
"(12, 26, 49)",5.0
"(12, 26, 50)",5.0
"(12, 26, 54)",5.0
"(12, 26, 55)",5.0
"(12, 27, 30)",5.0
"(12, 27, 31)",5.0
"(12, 27, 32)",5.0
"(12, 27, 33)",5.0
"(12, 27, 34)",5.0
"(12, 27, 37)",5.0
"(12, 27, 38)",5.0
"(12, 27, 44)",5.0
"(12, 27, 45)",5.0
"(12, 27, 46)",5.0
"(12, 27, 47)",5.0
"(12, 27, 48)",5.0
"(12, 27, 49)",5.0
"(12, 27, 55)",5.0
"(12, 27, 56)",5.0
"(12, 28, 30)",5.0
"(12, 28, 31)",5.0
"(12, 28, 32)",5.0
"(12, 28, 33)",5.0
"(12, 28, 37)",5.0
"(12, 28, 38)",5.0
"(12, 28, 39)",5.0
"(12, 28, 46)",5.0
"(12, 28, 47)",5.0
"(12, 28, 48)",5.0
"(12, 28, 56)",5.0
"(12, 28, 57)",5.0
"(12, 29, 30)",5.0
"(12, 29, 31)",5.0
"(12, 29, 32)",5.0
"(12, 29, 57)",5.0
"(12, 29, 58)",5.0
"(12, 30, 31)",5.0
"(12, 30, 32)",5.0
"(12, 30, 58)",5.0
"(12, 33, 38)",5.0
"(12, 34, 35)",5.0
"(12, 34, 36)",5.0
"(12, 34, 37)",5.0
"(12, 34, 38)",5.0
"(12, 34, 39)",5.0
"(12, 35, 34)",5.0
"(12, 35, 35)",5.0
"(12, 35, 36)",5.0
"(12, 35, 37)",5.0
"(12, 35, 38)",5.0
"(12, 36, 33)",5.0
"(12, 36, 34)",5.0
"(12, 36, 35)",5.0
"(12, 36, 36)",5.0
"(12, 36, 37)",5.0
"(12, 37, 33)",5.0
"(12, 37, 34)",5.0
"(12, 37, 35)",5.0
"(12, 37, 36)",5.0
"(12, 38, 32)",5.0
"(12, 38, 33)",5.0
"(12, 38, 34)",5.0
"(12, 38, 35)",5.0
"(12, 38, 36)",5.0
"(12, 39, 32)",5.0
"(12, 39, 33)",5.0
"(12, 39, 34)",5.0
"(12, 39, 35)",5.0
"(12, 40, 32)",5.0
"(12, 40, 33)",5.0
"(12, 40, 34)",5.0
"(12, 41, 32)",5.0
"(12, 41, 33)",5.0
"(13, 20, 43)",5.0
"(13, 21, 34)",5.0
"(13, 21, 35)",5.0
"(13, 21, 42)",5.0
"(13, 21, 43)",5.0
"(13, 21, 44)",5.0
"(13, 21, 45)",5.0
"(13, 21, 46)",5.0
"(13, 21, 47)",5.0
"(13, 21, 48)",5.0
"(13, 22, 31)",5.0
"(13, 22, 32)",5.0
"(13, 22, 33)",5.0
"(13, 22, 34)",5.0
"(13, 22, 35)",5.0
"(13, 22, 36)",5.0
"(13, 22, 42)",5.0
