X,Y,Z
13,27,32
13,27,33
13,27,37
13,27,38
13,27,39
13,27,43
13,27,44
13,27,45
13,27,46
13,27,47
13,27,48
13,27,49
13,27,50
13,27,56
13,27,57
13,28,27
13,28,28
13,28,29
13,28,30
13,28,31
13,28,32
13,28,33
13,28,36
13,28,37
13,28,38
13,28,39
13,28,44
13,28,45
13,28,46
13,28,47
13,28,48
13,28,57
13,28,58
13,29,27
13,29,28
13,29,29
13,29,30
13,29,31
13,29,32
13,29,57
13,29,58
13,29,59
13,30,28
13,30,29
13,30,30
13,33,37
13,33,38
13,34,35
13,34,36
13,34,37
13,34,38
13,34,39
13,35,34
13,35,35
13,35,36
13,35,37
13,35,38
13,35,39
13,36,34
13,36,35
13,36,36
13,36,37
13,36,38
13,37,33
13,37,34
13,37,35
13,37,36
13,38,32
13,38,33
13,38,34
13,38,35
13,39,31
13,39,32
13,39,33
13,39,34
13,39,35
13,40,31
13,40,32
13,40,33
13,40,34
13,41,31
13,41,32
13,41,33
13,42,31
13,42,32
14,18,37
14,18,38
14,19,37
14,19,38
14,19,39
14,19,40
14,19,41
14,19,42
14,19,43
14,19,44
14,19,45
14,20,42
14,20,43
14,20,44
14,20,45
14,20,46
14,20,47
14,20,48
14,21,30
14,21,31
14,21,34
14,21,35
14,21,43
14,21,44
14,21,45
14,21,46
14,21,47
14,21,48
14,21,49
14,21,50
14,22,29
14,22,30
14,22,31
14,22,32
14,22,35
14,22,44
14,22,45
14,22,46
14,22,47
14,22,48
14,22,49
14,22,50
14,22,51
14,22,52
14,23,29
14,23,30
14,23,31
14,23,32
14,23,33
14,23,43
14,23,44
14,23,45
14,23,46
14,23,47
14,23,48
14,23,49
14,23,50
14,23,51
14,23,52
14,23,53
14,23,54
14,24,29
14,24,30
14,24,31
14,24,32
14,24,33
14,24,34
14,24,35
14,24,36
14,24,40
14,24,41
14,24,42
14,24,43
14,24,44
14,24,45
14,24,46
14,24,47
14,24,48
14,24,49
14,24,50
14,24,51
14,24,52
14,24,53
14,24,54
14,24,55
14,25,29
14,25,30
14,25,31
14,25,32
14,25,33
14,25,34
14,25,35
14,25,36
14,25,37
14,25,39
14,25,40
14,25,41
14,25,42
14,25,43
14,25,44
14,25,45
14,25,46
14,25,47
14,25,48
14,25,49
14,25,50
14,25,51
14,25,53
14,25,54
14,25,55
14,25,56
14,26,30
14,26,31
14,26,37
14,26,38
14,26,39
14,26,40
14,26,41
14,26,42
14,26,43
14,26,44
14,26,46
14,26,47
14,26,48
14,26,49
14,26,54
14,26,55
14,26,56
14,26,57
14,27,27
14,27,28
14,27,29
14,27,30
14,27,31
14,27,32
14,27,37
14,27,38
14,27,39
14,27,40
14,27,43
14,27,44
14,27,45
14,27,46
14,27,47
14,27,48
14,27,56
14,27,57
14,27,58
14,28,26
14,28,27
14,28,28
14,28,29
14,28,30
14,28,31
14,28,38
14,28,39
14,28,44
14,28,45
14,28,46
14,28,47
14,28,48
14,28,56
14,28,57
14,28,58
14,28,59
14,29,26
14,29,27
14,29,28
14,29,29
14,29,30
14,29,31
14,29,44
14,29,45
14,29,46
14,29,47
14,29,57
14,29,58
14,29,59
14,30,26
14,30,27
14,30,28
14,30,29
14,30,30
14,31,26
14,31,27
14,31,28
14,31,29
14,31,30
14,32,28
14,32,29
14,33,37
14,34,33
14,34,34
14,34,35
14,34,36
14,34,37
14,34,38
14,34,39
14,35,33
14,35,34
14,35,35
14,35,36
14,35,37
14,35,38
14,36,33
14,36,34
14,36,35
14,36,36
14,37,33
14,37,34
14,37,35
14,38,32
14,38,33
14,38,34
14,38,35
14,39,31
14,39,32
14,39,33
14,39,34
14,39,35
14,40,31
14,40,32
14,40,33
14,40,34
14,41,31
14,41,32
14,41,33
14,42,31
14,42,32
15,17,36
15,17,37
15,17,38
15,17,39
15,17,40
15,18,37
15,18,38
15,18,39
15,18,40
15,18,41
15,18,42
15,18,43
15,18,45
15,19,38
15,19,39
15,19,43
15,19,44
15,19,45
15,19,46
15,19,47
15,19,48
15,20,43
15,20,44
15,20,45
15,20,46
15,20,47
15,20,48
15,20,49
15,20,50
15,21,44
15,21,45
15,21,46
15,21,47
15,21,48
15,21,49
15,21,50
15,21,51
15,22,30
15,22,31
15,22,32
15,22,45
15,22,46
15,22,47
15,22,48
15,22,49
15,22,50
15,22,51
15,22,52
15,22,53
15,23,30
15,23,31
15,23,32
15,23,45
15,23,46
15,23,47
15,23,48
15,23,49
15,23,50
15,23,51
15,23,52
15,23,53
15,23,54
15,23,55
15,24,30
15,24,31
15,24,32
15,24,33
15,24,40
15,24,41
15,24,42
15,24,43
15,24,44
15,24,46
15,24,47
15,24,48
15,24,49
15,24,50
15,24,51
15,24,52
15,24,53
15,24,54
15,24,55
15,24,56
15,25,29
15,25,30
15,25,31
15,25,32
15,25,33
15,25,39
15,25,40
15,25,41
15,25,42
15,25,43
15,25,44
15,25,46
15,25,47
15,25,48
15,25,53
15,25,54
15,25,55
15,25,56
15,25,57
15,26,28
15,26,29
15,26,30
15,26,31
15,26,32
15,26,40
15,26,41
15,26,42
15,26,43
15,26,44
15,26,47
15,26,54
15,26,55
15,26,56
15,26,57
15,26,58
15,27,27
15,27,28
15,27,30
15,27,31
15,27,39
15,27,40
15,27,41
15,27,42
15,27,43
15,27,46
15,27,47
15,27,55
15,27,56
15,27,57
15,27,58
15,27,59
15,28,26
15,28,27
15,28,28
15,28,29
15,28,30
15,28,31
15,28,39
15,28,40
15,28,43
15,28,44
15,28,45
15,28,46
15,28,47
15,28,56
15,28,57
15,28,58
15,28,59
15,28,60
15,29,26
15,29,27
15,29,28
15,29,29
15,29,30
15,29,31
15,29,32
15,29,40
15,29,44
15,29,45
15,29,46
15,29,57
15,29,58
15,29,59
15,29,60
15,30,25
15,30,26
15,30,27
15,30,28
15,30,29
15,30,30
15,30,31
15,30,60
15,30,61
15,31,25
15,31,26
15,31,27
15,31,28
15,31,29
15,31,30
15,31,31
15,31,33
15,31,34
15,32,26
15,32,27
15,32,28
15,32,29
15,32,30
15,32,31
15,32,32
15,32,33
15,32,34
15,32,35
15,32,36
15,33,28
15,33,33
15,33,34
15,33,35
15,33,36
15,33,37
15,33,38
15,34,33
15,34,34
15,34,35
15,34,36
15,34,37
15,34,38
15,34,39
